text,label,original_label
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,0,1
"At some point in their lives, 99% of women use birth control.",0,1
"In the past 20 years, Egypt has made great strides in political and democratic reform.",1,0
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,1,0
"In Rick Perrys Texas, we import nurses ... from other countries.",0,1
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,1,0
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",1,0
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,0,1
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,1,0
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",1,0
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",0,1
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",0,1
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",1,0
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",0,1
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",0,1
"About half of the presidents have been governors; half of them, senators.",1,0
The Air Force wants taxpayers to fund a fantasy football league.,1,0
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,0,1
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,1,0
Mr. Caprio is a career politician who has never worked in the private sector.,1,0
Donald Trump has said nuclear proliferation is OK.,0,1
Barack Obama has never even worked in business.,1,0
Says the Arizona immigration law expressly bans racial profiling.,0,1
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,1,0
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",1,0
We (Democrats) have made steady progress creating jobs and improving our schools.,0,1
Im the only one whos fought against developers draining the Everglades!,1,0
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,0,1
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",0,1
"""While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.""",0,1
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",0,1
We have more illegal immigrants here than we did five years ago.,1,0
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,1,0
Says Chris Christie vetoed a jobs package of 30 bills.,0,1
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,0,1
Barack Obama is in an economy thats only worsened since hes been president of the United States.,0,1
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",0,1
Says Thomas Eric Duncan came into the United States with an elevated temperature.,1,0
Gas prices have gone up $2 since Obama took office.,0,1
"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",0,1
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",0,1
There are more oil rigs in operation in the United States than the rest of the world combined.,1,0
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",0,1
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",0,1
The Obama administration shut down the Amber Alert program because of the government shutdown.,1,0
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",0,1
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",1,0
Not one Republican has the guts to recognize that climate change is real.,1,0
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",0,1
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",1,0
Says Obama health reform law denies millions access to affordable insurance.,1,0
Close to 30% of our federal prison population consists of illegal immigrants.,1,0
Says Rick Scott called education not a core function of the state.,1,0
"The Family Research Council, according to some government agencies, is a terrorist group.",1,0
Obamacare is the biggest tax increase in American history.,1,0
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,1,0
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",0,1
On how money from a possible lease of the Ohio Turnpike would be used,0,1
"The president has had 1,540 of his nominations confirmed, only four defeated.",0,1
"""One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.""",0,1
"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there.""",0,1
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",0,1
The United States imprisons more than any nation in the world.,0,1
Providences port is 200 miles closer to Europe than any other Eastern port.,1,0
"""Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.""",0,1
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,0,1
We now have driven (health care) costs down to the lowest theyve been in 50 years.,1,0
"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist.""",0,1
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",0,1
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,1,0
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,0,1
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,1,0
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,1,0
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",1,0
"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",0,1
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,0,1
On legalizing illegal immigrants.,0,1
"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt.""",0,1
"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",0,1
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",0,1
The top 1 percent pay over half of the entire revenue for this country.,1,0
Chris Christie has not increased the taxes on anyone.,0,1
Says he never said he would keep education funding the same.,1,0
"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",0,1
"""(Palin) supported right-wing extremist Pat Buchanan for president in 2000.""",1,0
"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",0,1
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",1,0
"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",1,0
On using the Strategic Petroleum Reserve.,1,0
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,1,0
"Says Scott Walker wants to ban common forms of birth control, including the pill.",0,1
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,1,0
"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",0,1
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",0,1
"""There are mechanisms in place to shut down the Internet privately.""",0,1
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,0,1
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",0,1
74 percent of Republicans support the Affordable Care Act.,1,0
"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",0,1
"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",0,1
Says Alex Sink failed Florida homeowners by using predatory lending practices.,1,0
"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",1,0
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,0,1
"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",0,1
"Every year, more than $40 million are leaving Missouri for the Lone Star State.",0,1
Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,0,1
"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",0,1
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,0,1
"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",0,1
"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",0,1
"Most young Americans right now, theyre not covered by health insurance.",1,0
"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",0,1
"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",0,1
"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",0,1
Cell phone numbers go public this month.,1,0
Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,1,0
The Obama administration is unwinding our nations welfare-to-work requirements.,1,0
The Redskins Training Camp deal generated $40 million in new private investment in the city.,0,1
The GOP budget plan would cut nearly a million jobs.,0,1
There are more people living in this country who were not born here than at anytime in the history of the country.,0,1
Says Hillary Clinton defended Syrias President Assad as a possible reformer at the start of that countrys civil war.,0,1
"The Postal Services financial losses result from a 2006 law that drains $5 billion a year from post office revenue, while the Postal Service is forced to overpay billions more into federal accounts.",0,1
"If black America were a country, itd be the 15th wealthiest nation in the world.",1,0
"Since Republicans took over after the 2010 election, the graduation rate in Wisconsin has gone from 86 percent to 88 percent. The black graduation rate has gone from 60 percent to 65 percent. The Latino graduation rate has gone from 65 percent to 71 percent.",0,1
"Since Rick Perry became governor, Texas has gone from 46th in the country to 50th in the population that graduates from high school.",0,1
The streetcar project planned by Mayor Tom Barrett would be a 1900s style trolley.,0,1
"Americans, in the last 30 years, have more than doubled the amount of money we are spending per child (on education) and the results have gotten worse, not better.",0,1
Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,1,0
"Enacting the Right-to-Carry Act would amount to expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.",0,1
Jorge Elorza wants to impose a municipal income tax.,1,0
"Nathan Deal cut the HOPE scholarship program so that literally 100,000 Georgians will not be able to go to college or get technical training that they so badly needed to raise -- you know, give them a chance at a good job.",0,1
"""As governor of Arkansas, I cut taxes and fees almost 100 times, saving the taxpayers almost $380-million. I left a surplus of nearly $850-million.""",0,1
I havent raised taxes in the time Ive been the governor of New Jersey.,0,1
Massachusetts public schools teach kids as young as kindergartners about gay marriage.,1,0
Six people in Florida die as a result of (not expanding Medicaid) every day.,0,1
SaysRand Paulhas put out budgets to cut the military in half.,1,0
Groups that receive foreign money are spending huge sums to influence American elections.,0,1
"[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!",0,1
We know that Saudi Arabia started al-Qaida.,0,1
"The fundraising numbers are in, and our grassroots support is unmatched!",1,0
"""Democrats are kind of falling over each other seeing who can raise taxes faster. It looks like they're going to raise taxes anywhere between 20 to 30 percent.""",0,1
"Says he passed eight measures, including ones to prevent groping at airport security checks and to bar sanctuary cities in Texas.",0,1
Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,1,0
These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,1,0
"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.",0,1
"Weve got an average of 5,600 soldiers committing suicide. Thats about 20 a day.",0,1
"ISIS camp a few miles from Texas, Mexican authorities confirm.",1,0
New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,1,0
Social Security is indeed a Ponzi scheme.,1,0
The omnibus bill has only $3.8 billion in earmarks.,1,0
"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",0,1
"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.",0,1
"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.",0,1
Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,0,1
Says Kay Bailey Hutchison voted for sanctuary cities.,1,0
John Mica voted to borrow $10 trillion.,0,1
"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.",0,1
"""John wasn't this raging populist four years ago"" when he ran for president.",1,0
Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,1,0
"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.",1,0
The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,0,1
"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.",1,0
Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,0,1
"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.",1,0
Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,1,0
You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,1,0
"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.",0,1
The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,1,0
"Under a bill before the legislature, youd have to go to court to fire an employee.",1,0
"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",1,0
George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,0,1
Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,0,1
"""I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.""",0,1
Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,0,1
"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",0,1
There were more people on welfare than working in 2013.,1,0
Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,0,1
"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",0,1
Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,1,0
Im the only (Republican)candidate that has actually reduced the size of government.,0,1
"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",1,0
This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,1,0
Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.,0,1
Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,1,0
"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",0,1
"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.",0,1
The DNC says McCain flip-flopped on whether the Iraq War would be easy.,0,1
"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.",0,1
"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.",0,1
59 percent of Americans today believe that Barack Obama is still a Muslim.,1,0
Carol Shea-Porter wants to increase taxes on small business and job creators.,1,0
On whether the United States should intervene in Libya.,1,0
99.97 percent of the kids live in poverty that attend Cleveland public schools.,0,1
"John Kitzhaber created 128,000 new jobs while governor.",0,1
"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""",1,0
"We are now, for the first time ever, energy independent.",1,0
"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.""",0,1
Youre in more trouble if you leave your pet in the car than if you leave your child in the car.,0,1
SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.,1,0
What I have put forward does not add a penny to the debt.,0,1
Limiting labor negotiations to only wages is how it is for the most part in the private sector.,1,0
The states have always defined marriage.,0,1
"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.",1,0
"John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork.""",0,1
"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.",0,1
The FCCs net neutrality policy includes whatis essentially a massive tax increase.,0,1
"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.",1,0
"When we took office, let me remind you, there was virtually no international pressure on Iran.",1,0
"In the United States, weve had 12 years in a row of wages declining.",0,1
Charlie Crist has six different positions on ObamaCare.,0,1
"Says abortion doctors are flying into this state, performing abortions and flying out.",1,0
Weve created more jobs in the United States than every other advanced economy combined since I came into office.,0,1
"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.",1,0
On repeal of Wisconsins smoking ban,1,0
"For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.",0,1
"Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee.",0,1
President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.,0,1
"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.",1,0
"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics.",1,0
President Bush never did one interview with the New York Times during his entire presidency.,1,0
"Mr. Trump is self-financing his campaign, so we dont have any donors.",1,0
The U.S. spends more money on its military than the 16 biggest military budgets in the world combined.,0,1
The Affordable Care Act is bringing the cost of health care in our country down.,0,1
The Providence teacher contract is one of the longest in the country.,1,0
"In 1929, the Secretary of State shut down a program that was collecting information to protect America because it was unseemly, but that move led to millions and millions of deaths in World War II.",0,1
Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined.,1,0
The Chris Hani Baragwanath in South Africa is the worlds third-biggest hospital.,0,1
"Says Connie Mack initially said he would have voted yes for the Paul Ryan budget plan, and then, you said it was stupid and you would vote no. And then your folks corrected you, and you changed your position again, yes.",0,1
"What we have now is the most generous, in my opinion, good time bill in the entire United States.",1,0
"The most likely triggering cause of (microcephaly) is the DTaP shot, a vaccine that had been recently mandated by the Brazilian government to be injected into pregnant women.",1,0
"""Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.""",1,0
"Says her campaign platform includes the biggest investment in new, good-paying jobs since World War II.",0,1
"""Joe Biden brought Republicans and Democrats together to pass the 1994 crime bill, putting 100,000 cops on the streets and starting an eight-year drop in crime across the country.""",0,1
If Rhode Island does a hybrid [retirement] plan well be the first state in the nation to do this.,1,0
Democrats in the Legislature in 2009 voted for various pork projects including a $5 million scoreboard for the Milwaukee Bucks.,1,0
Says Donald Trump has defended World War II internment camps.,0,1
Turkey is an Arab country.,1,0
Says Lee Leffingwell raised property taxes 20 percent in three years.,0,1
92 percent of the jobs lost during Barack Obamas first term belonged to women.,1,0
Says President Barack Obama was responsible for the assassination of at least four American citizens in drone strikes.,0,1
We have 395 inmates pushed into triple-bunked cells intended for two inmates and bunked in classrooms and areas supposed to be designated for inmate labor.,1,0
"The ACLU didnt call for an investigation (of the Newark police department), they called for an immediate federal monitor.",1,0
"If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.",1,0
"""On the pace that we're on with job creation in the last four months ...we will have created more jobs in this year than in the entire Bush Presidency.""",0,1
"Says Nikita Khrushchev brought an extra shoe to a United Nations session in 1960, which he banged on the desk in protest.",1,0
"Low-flow toilets can cost homeowners up to $1,000 each.",0,1
Jim Renacci voted repeatedly to end Medicare.,1,0
Every president since Franklin Delano Roosevelt has had fast-track trade authority.,0,1
Says Barack Obama is apparently not for vetting people and saying just anybody can come to the United States.,1,0
The majority of Americans are conservatives.,0,1
Obama has racked up more debt than any president in history over $5 trillion.,0,1
Says Arizona congressional candidate Ray Strauss is a Champion of Big Government for his votes to raise taxes while on the local city council.,0,1
Says with Gov. Chris Christie and bipartisan reformers New Jersey had the most job growth in 11 years.,0,1
Says in 1944 we were in debt more than twice as much as we are now.,1,0
"One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.",0,1
"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas.",1,0
"Weve got a 1,000 National Guard troop request thats been in front of this president for over a year and no response.",0,1
"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care",1,0
"In 67 different ways, Governor McCrory has raised taxes on middle income families.",0,1
The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,1,0
"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",0,1
On abortion,1,0
"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",1,0
Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,1,0
David Perdue said hed raise taxes.,0,1
I am the first Latina to run for governor of Texas.,1,0
Says Every legislative district in the state has at least one craft brewery and countless home brewers.,1,0
"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",1,0
"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset.",1,0
"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",1,0
"SaysVirginia RepublicanScott Taylor has been convicted in at least four different courts across the country, at times failing to even appear, and having a warrant issued for his arrest.",0,1
"Says Mahatma Gandhi once said, First they ignore you, then they laugh at you, then they fight you, then you win.",1,0
"Savings that I achieved helped fund cameras on the border. As a result, more than 21,500 arrests have been made and 46 tons of narcotics confiscated.",0,1
"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",1,0
"""There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.""",0,1
"""The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.""",0,1
"""The minute this proposal for near-beach oil drilling came up, I was against it.""",0,1
The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,0,1
"It was allowed, referring to her email practices.",1,0
"Our veterans, in many cases, are being treated worse than illegal immigrants.",1,0
Says Paul Ryan tried to change the whole game for Social Security,0,1
Not one tax has been raised since Ive been governor.,0,1
We spend twice as much per capita on health care as any other nation on Earth.,1,0
Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,1,0
Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,1,0
"""The average American is working through the month of May just to pay off the government.""",0,1
Says Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.,0,1
"Barack Obama's network of small donors constitutes a ""parallel public financing system.""",0,1
"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.",1,0
"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.",0,1
"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",1,0
"Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.",1,0
"I can put 10,000 people to work. Electricians, plumbers, sheet metal workers -- by retrofitting all of the state buildings for energy independence or efficiency.",0,1
"She (Kagan) took money from Goldman Sachs just like her boss, Obama.",0,1
Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,1,0
"Barack Obama wants to ""unilaterally disarm our nation.""",1,0
On an earmark moratorium.,1,0
Milwaukees problems include 52 percent black male unemployment.,1,0
Says Texas Railroad Commissioner Michael Williams has attended more than 150 tea party gatherings.,1,0
Harry Reid has voted to give special tax breaks to illegal aliens.,1,0
Job growth in the United States is now at the fastest pace in this countrys history.,1,0
"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.",0,1
In 2009 Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61 cents an hour from 24 cents.,0,1
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,1,0
#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.,0,1
